transaction_number,T_date,transaction_type,Punk_Nr,T_from,T_to,amount
632,2021-06-30,9,258,1,154,40388
633,2021-06-30,3,258,155,8,33480
634,2021-06-30,8,258,8,8,40361
635,2021-05-25,1,258,3,1,0
636,2021-05-25,1,258,1,3,0
637,2021-03-07,1,258,4,1,0
638,2021-03-05,1,258,5,4,0
639,2021-02-04,1,258,6,5,0
640,2017-06-23,4,258,8,6,0
641,2022-11-29,2,259,156,8,69485
642,2022-11-26,3,259,156,8,69487
643,2022-11-04,7,259,8,8,0
644,2022-11-04,7,259,8,8,0
645,2022-07-16,8,259,8,8,404166
646,2022-07-16,7,259,8,8,0
647,2022-07-07,8,259,8,8,267516
648,2022-06-18,9,259,157,158,92796
649,2022-06-18,2,259,159,8,82046
650,2022-06-16,3,259,159,8,82234
651,2022-05-13,2,259,160,8,101119
652,2022-05-13,3,259,160,8,98120
653,2022-04-25,2,259,161,8,198023
654,2022-04-25,3,259,161,8,198049
655,2022-04-20,8,259,8,8,294581
656,2022-04-15,5,259,13,157,0
657,2022-04-15,6,259,162,13,0
658,2022-04-15,1,259,163,162,0
659,2022-04-14,8,259,8,8,259625
660,2022-02-22,8,259,8,8,511938
661,2021-10-03,9,259,164,163,489510
662,2021-10-03,8,259,8,163,486440
663,2021-10-03,8,259,8,8,512622
664,2021-10-03,8,259,8,8,537539
665,2021-10-03,9,259,165,164,483447
666,2021-10-02,8,259,8,8,483447
667,2021-09-05,8,259,8,8,1.18M
668,2021-08-28,7,259,8,8,0
669,2021-08-24,8,259,8,8,1M
670,2021-08-23,1,259,166,165,0
671,2021-08-23,9,259,167,166,285036
672,2021-08-23,8,259,8,8,285720
673,2021-08-09,8,259,8,8,224851
674,2021-08-06,8,259,8,8,262425
675,2021-08-06,8,259,8,8,252803
676,2021-06-12,1,259,167,167,0
677,2021-04-06,9,259,168,167,52506
678,2021-04-06,2,259,167,8,48793
679,2021-04-06,8,259,8,8,52143
680,2021-04-06,3,259,167,8,48971
681,2021-03-27,2,259,169,8,37352
682,2021-03-27,3,259,169,8,37352
683,2021-03-23,8,259,8,8,44102
684,2021-03-14,8,259,8,8,59992
685,2021-03-09,9,259,170,168,33714
686,2021-03-09,8,259,8,8,33714
